Section,Question,Testing,Response
11.6.1,Is a mechanism implemented to detect unauthorized changes or tampering on payment pages?,"Review system configuration settings, examine monitored payment pages, review monitoring results, and interview personnel.",
,,,
Section 12: Support Information Security with Organizational Policies and Programs,,,
12.1,A comprehensive information security policy that governs and provides direction for protection of the entity’s information assets is known and current.,,
12.1.1,"Is an information security policy established, maintained, and communicated to all relevant personnel and partners?",Examine the information security policy and interview personnel.,
12.1.2,Is the information security policy reviewed at least annually and updated when necessary?,Examine the policy and interview responsible personnel.,
12.1.3,Does the security policy define roles and responsibilities for information security and are personnel aware of them?,"Examine the policy, interview personnel, and review documented evidence.",
12.1.4,Is responsibility for information security formally assigned to a CISO or senior security officer?,Examine the information security policy.,
12.2,Acceptable use policies for end-user technologies are defined and implemented.,,
12.2.1,Are acceptable use policies for end-user technologies documented and implemented?,Examine acceptable use policies and interview responsible personnel.,
12.3,"Risks to the cardholder data environment are formally identified, evaluated, and managed.",,
12.3.1,Is a documented risk analysis performed to determine the frequency of PCI DSS control activities?,Examine documented policies and procedures.,
12.3.3,Are cryptographic protocols and cipher suites documented and reviewed at least annually?,Examine documentation and interview personnel.,
12.3.4,Are hardware and software technologies reviewed annually to ensure they remain secure and supported?,Examine documentation and interview personnel.,
12.4,PCI DSS scope is documented and validated.,,
12.4.1,Is an inventory of all system components in scope for PCI DSS maintained and kept current?,Examine the inventory and interview personnel.,
12.4.2,Is PCI DSS scope reviewed and validated at least annually and after significant changes?,Examine documented scope review results and interview personnel.,
12.5,Security awareness education is an ongoing activity.,,
12.5.1,Is a formal security awareness program implemented for all personnel?,Examine the security awareness program.,
12.5.2,Is the security awareness program reviewed and updated at least annually?,"Review program content, evidence of reviews, and interview personnel.",
12.5.3,Do personnel receive security awareness training at hire and at least annually?,"Review training records, interview personnel, and examine training materials.",
12.5.3.1,Does security awareness training include phishing and social engineering threats?,Examine security awareness training content.,
12.5.3.2,Does security awareness training include acceptable use of end-user technologies?,Examine security awareness training content.,
12.6,Personnel are screened to reduce risks from insider threats.,,
12.6.1,Are personnel screened prior to hiring if they will have access to the cardholder data environment (CDE)?,Interview HR management personnel.,
12.7,Risk to information assets associated with third-party service provider (TPSP) relationships is managed.,,
12.7.1,Is a list maintained of all third-party service providers that access or impact cardholder data?,"Examine policies, procedures, and the TPSP list.",
12.7.2,Are written agreements maintained with third-party service providers regarding protection of cardholder data?,Examine policies and written agreements.,
12.7.3,Is a due diligence process implemented before engaging third-party service providers?,"Examine policies, evidence of due diligence, and interview personnel.",
12.7.4,Is the PCI DSS compliance status of third-party service providers monitored at least annually?,Examine documentation and interview personnel.,
12.7.5,Is documentation maintained showing which PCI DSS controls are handled by the entity and which by third-party providers?,"Examine policies, documentation, and interview personnel.",
12.8,Suspected and confirmed security incidents that could impact the CDE are responded to immediately,,
12.8.1,Is an incident response plan established to address security incidents affecting the CDE?,"Examine the incident response plan, interview personnel, and review incident records.",
12.8.2,Is the incident response plan reviewed and tested at least annually?,Interview personnel and examine documentation.,
12.8.3,Are personnel available 24/7 to respond to security incidents?,Interview responsible personnel and examine documentation.,
12.8.4,Are incident response personnel trained on their responsibilities?,Interview incident response personnel and examine training records.,
12.8.4.1,Is the frequency of incident response training defined through risk analysis?,Examine the targeted risk analysis.,
12.8.5,Does the incident response plan include responding to alerts from security monitoring systems?,Examine documentation and observe incident response processes.,
12.8.6,Is the incident response plan updated based on lessons learned and industry developments?,"Examine policies, procedures, and the incident response plan.",
12.8.7,Are procedures defined to respond if stored PAN is discovered outside the expected environment?,"Examine incident response procedures, interview personnel, and review response records.",
