Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,"Yes. We have written procedures in place describing determination of user access levels to information systems, locations, and ePHI, but not detailing all of the variables described above.","Consider assigning an authorized user to approve access levels with information systems and locations that contain and use ePHI. If this is determined to not be reasonable and appropriate, document the reason why and implement a compensating control. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 2, 10"
,,,"Yes. We have a verbally communicated process for determining access to information systems, locations, and ePHI.","Consider assigning an authorized user to approve access levels with information systems and locations that contain and use ePHI. If this is determined to not be reasonable and appropriate, document the reason why and implement a compensating control. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 2, 10"
,,,"No. We do not have procedures to determine user access levels to information systems, locations, and ePHI.","Consider assigning an authorized user to approve access levels with information systems and locations that contain and use ePHI. If this is determined to not be reasonable and appropriate, document the reason why and implement a compensating control. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 2, 10"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 2, 10"
,Notes,,,,,,,
9,Do you validate a person's access to facilities (including workforce members and visitors) based on their role or function?,,,,,,,
,,,Yes. We have procedures for validating access to our facility. Access levels are based on role or function. We also have strict requirements for validating workforce members or visitors who seek access to our critical systems and software programs.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",1,,Addressable,"HIPAA: §164.310(a)(2)(iii) 
NIST CSF: ID.RA, PR.AA, PR.IR, PR.DS, DE.CM, DE.CP, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 6"
,,,Yes. We have procedures for validating a person's access to our facility. Access levels are not based on role or function. ,"Access to facilities, especially areas which house ePHI, should be limited to the minimum amount necessary for workforce members or visitors to complete their legitimate functions. Consider implementing procedures to validate a person's access to facilities based on their role. If this is determined to not be reasonable and appropriate, document the reason why and implement a compensating control. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",0,,Addressable,"HIPAA: §164.310(a)(2)(iii) 
NIST CSF: ID.RA, PR.AA, PR.IR, PR.DS, DE.CM, DE.CP, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 6"
,,,"Yes. We have procedures for validating a person's access to the facility based on their role or function, but do not have additional validation requirements for access to our critical systems.","Access to facilities, especially areas which house ePHI, should be limited to the minimum amount necessary for workforce members or visitors to complete their legitimate functions. Consider implementing procedures to validate a person's access to facilities based on their role. If this is determined to not be reasonable and appropriate, document the reason why and implement a compensating control. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",0,,Addressable,"HIPAA: §164.310(a)(2)(iii) 
NIST CSF: ID.RA, PR.AA, PR.IR, PR.DS, DE.CM, DE.CP, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 6"
,,,"Yes. We have an informal process for validating a person's access to facilities, with no written procedures in place.","Access to facilities, especially areas which house ePHI, should be limited to the minimum amount necessary for workforce members or visitors to complete their legitimate functions. Consider implementing procedures to validate a person's access to facilities based on their role. If this is determined to not be reasonable and appropriate, document the reason why and implement a compensating control. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",0,,Addressable,"HIPAA: §164.310(a)(2)(iii) 
NIST CSF: ID.RA, PR.AA, PR.IR, PR.DS, DE.CM, DE.CP, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 6"
