Section 4 - Security & Data,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,"Yes, automatic logoff is enabled on all devices and platforms to terminate access to ePHI after a set time of inactivity.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Configure systems and endpoints to automatically lock and log off users after a predetermined period of inactivity, such as 15 minutes.",1,,Addressable,"HIPAA: §164.312(a)(2)(iii) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 11 
HICP: TV1 - Practice # 3"
,,,"Yes, automatic logoff is enabled but not on all devices and platforms to terminate access to ePHI after a set time of inactivity.","Consider implementing automatic logoff on all devices and platforms which access ePHI. If this is not determined to be reasonable and appropriate, document the reason why and what compensating control is in its place. Configure systems and endpoints to automatically lock and log off users after a predetermined period of inactivity, such as 15 minutes.",0,,Addressable,"HIPAA: §164.312(a)(2)(iii) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 11 
HICP: TV1 - Practice # 3"
,,,"Automatic time-out is enabled on electronic devices accessing ePHI, but automatic logoff to fully terminate the session is not enabled.","Consider implementing automatic logoff on all devices and platforms which access ePHI. If this is not determined to be reasonable and appropriate, document the reason why and what compensating control is in its place. Configure systems and endpoints to automatically lock and log off users after a predetermined period of inactivity, such as 15 minutes.",0,,Addressable,"HIPAA: §164.312(a)(2)(iii) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 11 
HICP: TV1 - Practice # 3"
,,,Automatic logoff is not enabled on devices or platforms accessing ePHI.,"Consider implementing automatic logoff on all devices and platforms which access ePHI. If this is not determined to be reasonable and appropriate, document the reason why and what compensating control is in its place. Configure systems and endpoints to automatically lock and log off users after a predetermined period of inactivity, such as 15 minutes.",0,,Addressable,"HIPAA: §164.312(a)(2)(iii) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 11 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.312(a)(2)(iii) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 11 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
21,Do you ensure users accessing ePHI are who they claim to be?,,,,,,,
,,,"Yes. We require strong authentication where possible and have documentation of generic, shared, application, service, and system account assessments. ","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Strong authentication is one way to confirm users accessing ePHI are who they claim to be. The use of shared or generic accounts should be avoided. If shared accounts are required, train and regularly remind users that they must sign out upon completion of activity or whenever they leave the device, even for a moment. Passwords should be changed after each use. Sharing accounts exposes organizations to greater vulnerabilities. For example, the complexity of updating passwords for multiple users on a shared account may result in a compromised password remaining active and allowing unauthorized access over an extended period of time.",1,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,No. We have no specific policies or procedures that help us verify users accessing ePHI are who they claim to be. ,"Procedures should be in place to verify users accessing ePHI are who they claim to be, such as user authentication. Strong authentication is one way to confirm users accessing ePHI are who they claim to be. The use of shared or generic accounts should be avoided. If shared accounts are required, train and regularly remind users that they must sign out upon completion of activity or whenever they leave the device, even for a moment. Passwords should be changed after each use. Sharing accounts exposes organizations to greater vulnerabilities. For example, the complexity of updating passwords for multiple users on a shared account may result in a compromised password remaining active and allowing unauthorized access over an extended period of time.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,I don't know.,"Procedures should be in place to verify users accessing ePHI are who they claim to be, such as user authentication. Strong authentication is one way to confirm users accessing ePHI are who they claim to be. The use of shared or generic accounts should be avoided. If shared accounts are required, train and regularly remind users that they must sign out upon completion of activity or whenever they leave the device, even for a moment. Passwords should be changed after each use. Sharing accounts exposes organizations to greater vulnerabilities. For example, the complexity of updating passwords for multiple users on a shared account may result in a compromised password remaining active and allowing unauthorized access over an extended period of time.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
22,How do you ensure users accessing ePHI are who they claim to be?,,,,,,,
,,,"Users authenticate themselves to access ePHI using the method authorized by our practice's policy and procedure (e.g., user name and password, physical token, or biometric feature) and documentation is available for authentication solutions (e.g., EHR, VPN, Active Directory, admin tools).","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Configure systems and endpoints to automatically lock users out after a specific number of failed login attempts. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",1,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,"Users authenticate themselves to access ePHI, but we do not have a policy or procedure prescribing the method.","Requiring that users utilize unique usernames and passwords, or other forms of authentication, helps to reduce the risk that unauthorized users can access ePHI and compromise access controls already in place. Ensure this is consistently implemented at your practice by having a documented procedures to verify that a person or entity seeking access to ePHI is the one claimed. Configure systems and endpoints to automatically lock users out after a specific number of failed login attempts. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,"Users do not always have unique authentication to access ePHI (e.g., inadvisable practices such as sharing user names and passwords between multiple members of the workforce may occur).","Requiring that users utilize unique usernames and passwords, or other forms of authentication, helps to reduce the risk that unauthorized users can access ePHI and compromise access controls already in place. Ensure this is consistently implemented at your practice by having a documented procedures to verify that a person or entity seeking access to ePHI is the one claimed. Configure systems and endpoints to automatically lock users out after a specific number of failed login attempts. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,We do not have a procedure for authenticating users. ,"Requiring that users utilize unique usernames and passwords, or other forms of authentication, helps to reduce the risk that unauthorized users can access ePHI and compromise access controls already in place. Ensure this is consistently implemented at your practice by having a documented procedures to verify that a person or entity seeking access to ePHI is the one claimed. Configure systems and endpoints to automatically lock users out after a specific number of failed login attempts. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
23,How do you determine the means by which ePHI is accessed?,,,,,,,
,,,"All systems, devices, and applications which access ePHI are identified, evaluated, approved, and inventoried. Users can only access ePHI through these approved systems, devices, and applications.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook). For devices that are accessed off site, leverage technologies that use multi-factor authentication (MFA) before permitting users to access data or applications on the device. Logins that use only a username and password are often compromised through phishing e-mails. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",1,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM, PR.PS 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,"Applications which access ePHI are identified, evaluated, approved, and inventoried, but we do not manage which devices can access these applications (e.g., workforce members' personal devices accessing a cloud-based EHR without first identifying and approving the device)","Unsecured points could compromise data accessed through an otherwise secure application. Consider implementing a device management process to ensure security standards are in place for all points accessing ePHI. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook). For devices that are accessed off site, leverage technologies that use multi-factor authentication (MFA) before permitting users to access data or applications on the device. Logins that use only a username and password are often compromised through phishing e-mails. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM, PR.PS 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,"Devices and systems which access ePHI are identified, evaluated, approved, and inventoried, but we do not manage which applications can access these applications (e.g., ePHI is maintained in formats which can be used by many applications)","Secure devices can compromise data when the data itself is used by potentially insecure applications. Consider implementing a process to manage which applications access ePHI and how they will securely be enabled to do so. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook). For devices that are accessed off site, leverage technologies that use multi-factor authentication (MFA) before permitting users to access data or applications on the device. Logins that use only a username and password are often compromised through phishing e-mails. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM, PR.PS 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,We do not have a procedure for determining the means by which ePHI can be accessed appropriately. ,"Failing to manage which devices and applications can access ePHI enables widespread access that may not be secure, increasing the chance for the confidentiality, integrity, and availability of ePHI to be compromised. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook). For devices that are accessed off site, leverage technologies that use multi-factor authentication (MFA) before permitting users to access data or applications on the device. Logins that use only a username and password are often compromised through phishing e-mails. Implement MFA authentication for the cloud-based systems that your organization uses to store or process sensitive data, such as EHRs. MFA mitigates the risk of access by unauthorized users.",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM, PR.PS 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(d) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.MA, DE.CM, PR.PS 
HPH CPG: 3, 8 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
24,Do you protect ePHI from unauthorized modification or destruction?,,,,,,,
,,,Yes. We have developed and implemented policies and procedures to protect ePHI from improper alteration or destruction.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data.",1,,Required,"HIPAA: §164.312(c)(1) 
NIST CSF: PR.DS 
HPH CPG: N/A 
HICP: TV1 - Practice # 4"
,,,Yes. We have some procedures to protect the integrity of our ePHI but these may not be totally comprehensive.,"Implement policies and procedures to protect ePHI from unauthorized modification or destruction, such as user activity monitoring or data validation tools. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data.",0,,Required,"HIPAA: §164.312(c)(1) 
NIST CSF: PR.DS 
HPH CPG: N/A 
HICP: TV1 - Practice # 4"
,,,No. We do not have policies or procedures to ensure the protection of ePHI.,"Implement policies and procedures to protect ePHI from unauthorized modification or destruction, such as user activity monitoring or data validation tools. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data.",0,,Required,"HIPAA: §164.312(c)(1) 
NIST CSF: PR.DS 
HPH CPG: N/A 
HICP: TV1 - Practice # 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(c)(1) 
NIST CSF: PR.DS 
HPH CPG: N/A 
HICP: TV1 - Practice # 4"
,Notes,,,,,,,
25,How do you confirm that ePHI has not been modified or destroyed without authorization?,,,,,,,
,,,"We have mechanisms (e.g., integrity verification tools) to corroborate that ePHI has not been altered or destroyed in an unauthorized manner or detect if such alteration occurs.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Implement data loss prevention technologies to mitigate the risk of unauthorized access to PHI.",1,,Addressable,"HIPAA: §164.312(c)(2) 
NIST CSF: PR.DS, DE.CM, DE.AE 
HPH CPG: 16, 17, 18 
HICP: TV1 - Practice # 4"
,,,"We manually monitor changes made to ePHI in systems with audit log functionality, but do not have automated systems.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. You may want to consider implementing automated electronic mechanisms and/or integrity verification tools. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Implement data loss prevention technologies to mitigate the risk of unauthorized access to PHI.",1,,Addressable,"HIPAA: §164.312(c)(2) 
NIST CSF: PR.DS, DE.CM, DE.AE 
HPH CPG: 16, 17, 18 
HICP: TV1 - Practice # 4"
,,,We do not have resources or procedures in place to verify the integrity of ePHI.,"Your practice may not be able to safeguard its ePHI if it does not have authentication mechanisms and tools, such as log monitoring or data encryption validation, that can authenticate ePHI. Consider implementing a procedure to validate the integrity of your ePHI. If this is determined to not be reasonable and appropriate, document the reason why and what compensating control is in its place. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Implement data loss prevention technologies to mitigate the risk of unauthorized access to PHI.",0,,Addressable,"HIPAA: §164.312(c)(2) 
NIST CSF: PR.DS, DE.CM, DE.AE 
HPH CPG: 16, 17, 18 
HICP: TV1 - Practice # 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.312(c)(2) 
NIST CSF: PR.DS, DE.CM, DE.AE 
HPH CPG: 16, 17, 18 
HICP: TV1 - Practice # 4"
,Notes,,,,,,,
26,Do you protect against unauthorized access to or modification of ePHI when it is being transmitted electronically?,,,,,,,
,,,Yes. We have implemented technical security measures and procedures to prevent unauthorized access to and detect modification of transmitted ePHI.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. When e-mailing PHI, use a secure messaging application such as Direct Secure Messaging (DSM),which is a nationally adopted secure e-mail protocol and network for transmitting PHI. DSM can be obtained from EHR vendors and other health information exchange systems. It was developed and adopted through the Meaningful Use program, and many medical organizations nationwide now use DSM networks. When texting PHI, use a secure texting system.",1,,Required,"HIPAA: §164.312(e)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 17 
HICP: TV1 - Practice # 1, 4"
,,,"We have developed policies and procedures to guide workforce members on the secure transmission of ePHI, but no resources are in place (e.g., encrypted email).","Implement technical security measures to guard against unauthorized access to ePHI that is transmitted over an electronic communication network in addition to developing protocols and procedures. Consider implementing measures to detect modification of transmitted ePHI; if this is determined to not be reasonable and appropriate, document the reason why along with the compensating control in place. When e-mailing PHI, use a secure messaging application such as Direct Secure Messaging (DSM),which is a nationally adopted secure e-mail protocol and network for transmitting PHI. DSM can be obtained from EHR vendors and other health information exchange systems. It was developed and adopted through the Meaningful Use program, and many medical organizations nationwide now use DSM networks. When texting PHI, use a secure texting system.",0,,Required,"HIPAA: §164.312(e)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 17 
HICP: TV1 - Practice # 1, 4"
,,,Workforce members are verbally instructed to use secure modes of ePHI transmission.,"Implement technical security measures to guard against unauthorized access to ePHI that is transmitted over an electronic communication network in addition to developing protocols and procedures. Consider implementing measures to detect modification of transmitted ePHI; if this is determined to not be reasonable and appropriate, document the reason why along with the compensating control in place. When e-mailing PHI, use a secure messaging application such as Direct Secure Messaging (DSM),which is a nationally adopted secure e-mail protocol and network for transmitting PHI. DSM can be obtained from EHR vendors and other health information exchange systems. It was developed and adopted through the Meaningful Use program, and many medical organizations nationwide now use DSM networks. When texting PHI, use a secure texting system.",0,,Required,"HIPAA: §164.312(e)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 17 
HICP: TV1 - Practice # 1, 4"
,,,No. We have not considered how to securely transmit ePHI.,"Implement technical security measures to guard against unauthorized access to ePHI that is transmitted over an electronic communication network in addition to developing protocols and procedures. Consider implementing measures to detect modification of transmitted ePHI; if this is determined to not be reasonable and appropriate, document the reason why along with the compensating control in place. When e-mailing PHI, use a secure messaging application such as Direct Secure Messaging (DSM),which is a nationally adopted secure e-mail protocol and network for transmitting PHI. DSM can be obtained from EHR vendors and other health information exchange systems. It was developed and adopted through the Meaningful Use program, and many medical organizations nationwide now use DSM networks. When texting PHI, use a secure texting system.",0,,Required,"HIPAA: §164.312(e)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 17 
HICP: TV1 - Practice # 1, 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(e)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS 
HPH CPG: 17 
HICP: TV1 - Practice # 1, 4"
,Notes,,,,,,,
27,Have you implemented mechanisms to record activity on information systems that create or use ePHI?,,,,,,,
,,,"Yes. Activity on systems that create or use ePHI is recorded and examined through monitoring of audit logs, system logs, or other mechanisms. This is documented in our procedures, including a complete inventory of systems that record activity and how it is examined.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.",1,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, DE.AE, DE.CM, RS.AN, PR.MA 
HPH CPG: 18 
HICP: TV1 - Practice # 3"
,,,"Yes. Activity on systems that create or use ePHI is recorded and examined through hardware, software or procedural mechanisms. However, this process is not formally documented in our procedures.",Mechanisms used to record and examine activity on information systems that contain or use ePHI should be documented in your security documentation. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, DE.AE, DE.CM, RS.AN, PR.MA 
HPH CPG: 18 
HICP: TV1 - Practice # 3"
,,,"Yes. Activity on systems that create or use ePHI should be recorded and examined per our procedures, but we do not have actual hardware, software or procedural mechanisms in place.",Mechanisms should be in place to record and examine activity on information systems that contain or use ePHI. These mechanisms should be documented in your security documentation. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, DE.AE, DE.CM, RS.AN, PR.MA 
HPH CPG: 18 
HICP: TV1 - Practice # 3"
,,,No. We do not have procedures or mechanisms to record and examine activities and information systems that create or use ePHI.,Mechanisms should be in place to record and examine activity on information systems that contain or use ePHI. These mechanisms should be documented in your security documentation. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, DE.AE, DE.CM, RS.AN, PR.MA 
HPH CPG: 18 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, DE.AE, DE.CM, RS.AN, PR.MA 
HPH CPG: 18 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
28,"Does the organization stay up to date or informed (e.g., cybersecurity listserv monitoring) on emerging threats and vulnerabilities that may affect information systems? ",,,,,,,
,,,"Yes, the organization subscribes to cybersecurity listservs and other informational sources that supply information regarding legal and regulatory requirements pertaining to cybersecurity emerging threats. ","This is the most effective option of those provided to track and manage current legal and regulatory requirements on protection of individuals information and understanding emerging cybersecurity threats. Subscribing to notifications from IT authoritative sources on threats and vulnerabilities such as CISA, ISO/IEC, H-ISAC, or IT-ISAC is a starting point for keeping abreast of the most current information available. ",1,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 14, 15 
HICP: N/A"
,,,"Yes, the organization receives periodic updates on current or emerging threats but does not follow listservs or other informational sources on a regular basis. ","The organization should consider regularly monitoring or subscribing to receive information from IT authoritative sources on threats and vulnerabilities such as CISA, ISO/IEC, H-ISAC, or IT-ISAC to stay abreast of rules, regulations, emerging threats, and standards of information security. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 14, 15 
HICP: N/A"
,,,"No, the organization does not subscribe to cybersecurity listservs and other informational sources that supply information regarding legal and regulatory requirements pertaining to cybersecurity emerging threats. ","The organization should consider regularly monitoring or subscribing to receive information from IT authoritative sources on threats and vulnerabilities such as CISA, ISO/IEC, H-ISAC, or IT-ISAC to stay abreast of rules, regulations, emerging threats, and standards of information security. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 14, 15 
HICP: N/A"
,,,Flag this question for later,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 14, 15 
HICP: N/A"
,Notes,,,,,,,
29,Is there a process in place to identify and evaluate information systems for potential emerging technical vulnerabilities and how the exposure could affect systems that contain ePHI?,,,,,,,
,,,"Yes, periodic vulnerability scans or penetration testing are done on a regular, scheduled basis to assess network computing and physical and system architecture for weaknesses, and software systems that may have reached their end of life. ",This is the most effective option among those provided to identify potential new threats and vulnerabilities within the information system. Timely information about technical vulnerabilities should be evaluated to identify the organizations exposure to vulnerabilities and appropriate measures should be taken to address the risk. The organization should identify any patch or software configuration and software end of life that needs to be addressed as well as assess all facilities that house critical computing assets for physical vulnerabilities and resilience issues. The organization should monitor sources of cyber threat intelligence for information on new vulnerabilities in products and services and review processes and procedures for weaknesses that could be exploited to affect cybersecurity. ,1,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 1 
HICP: N/A"
,,,"Yes, vulnerability scans or penetration testing are done but only on a as needed basis such as when there is a suspected weakness.",Timely information about technical vulnerabilities should be evaluated to identify the organizations exposure to vulnerabilities and appropriate measures should be taken to address the risk. The organization should identify any patch or software configuration and software end of life that needs to be addressed as well as assess all facilities that house critical computing assets for physical vulnerabilities and resilience issues. The organization should monitor sources of cyber threat intelligence for information on new vulnerabilities in products and services and review processes and procedures for weaknesses that could be exploited to affect cybersecurity. ,0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 1 
HICP: N/A"
,,,"No, vulnerability testing is not performed.",Consider routine testing for technical vulnerabilities so that timely information can be evaluated to identify the organizations exposure to vulnerabilities and appropriate measures should be taken to address the risk. The organization should identify any patch or software configuration and software end of life that needs to be addressed as well as assess all facilities that house critical computing assets for physical vulnerabilities and resilience issues. The organization should monitor sources of cyber threat intelligence for information on new vulnerabilities in products and services and review processes and procedures for weaknesses that could be exploited to affect cybersecurity. ,0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 1 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 1 
HICP: N/A"
,Notes,,,,,,,
30,"If new threats or vulnerabilities are identified through regular scanning, what is done to mitigate and respond to them?",,,,,,,
,,,The organization applies their policy and procedures consistent with the risk assessment to mitigate identified vulnerabilities. ,"This is the most effective option among those provided to respond to and mitigate identified risks. The organization applies the policy and procedures consistent with the risk assessment to mitigate any identified vulnerabilities in a risk appropriate way. In addition, the organization tracks the progress of risk response implementation and uses findings to inform risk response decisions and actions. ",1,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 16 
HICP: N/A"
,,,The vulnerabilities are documented formally and no additional action is taken.,"Consider developing and applying the specific policy and procedures to respond to and mitigate any identified vulnerabilities in a risk appropriate way. In addition, the organization could track and monitor the progress of risk response implementation and uses findings to inform risk response decisions and actions. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 16 
HICP: N/A"
,,,No additional attention is given to identified threats and vulnerabilities.,"Consider developing and applying the specific policy and procedures to respond to and mitigate any identified vulnerabilities in a risk appropriate way. In addition, the organization could track and monitor the progress of risk response implementation and uses findings to inform risk response decisions and actions. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 16 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.OC 
HPH CPG: 16 
HICP: N/A"
,Notes,,,,,,,
,,,,,,,,
Threats & Vulnerabilities,,,,,,Likelihood,Impact,Risk Score
1,Inadequate access controls ,,,,,,,
,,,"Information disclosure, loss, or theft (ePHI, proprietary, intellectual, or confidential) ",,,,,
,,,Disruption of information system function or adversarial access to unauthorized network segments,,,,,
,,,Malware installation on information systems or devices,,,,,
,,,Unauthorized modification of sensitive information,,,,,
,,,Information system access granted to unauthorized persons or entities,,,,,
2,Lack of documentation for controlling user access,,,,,,,
,,,Improper or overly broad assignment of access permissions for users,,,,,
,,,Procedures lack sufficient detail for determining user access,,,,,
3,Inadequate procedures for evaluating user activity logs,,,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential) ",,,,,
,,,Unknown source of a security/privacy related incident,,,,,
,,,Information system access granted to unauthorized personnel,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
4,Users have more access rights than needed to complete daily tasks,,,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Unauthorized access to ePHI/sensitive information,,,,,
,,,Unauthorized modification of critical network systems and data,,,,,
5,Non-unique login credentials for workforce members,,,,,,,
,,,Users violate security rules on information systems,,,,,
,,,Unknown or unidentified security incidents or breaches occur,,,,,
,,,Unauthorized user impersonating an authorized user,,,,,
6,Inadequate use of encryption for ePHI ,,,,,,,
,,,Disclosure of passwords or login information,,,,,
,,,"Information disclosure, loss, or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Fines from regulatory enforcement (due to lack of encryption safe harbor),,,,,
,,,Information system access granted to unauthorized personnel,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
7,Inadequate review of computer systems to ensure maximum security ,,,,,,,
,,,Accidental modification to ePHI/sensitive information,,,,,
,,,Denial of service (DoS) to critical systems,,,,,
,,,Disclosure of passwords and/or login information,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Exploitation of unpatched systems and software,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
8,Lack of automatic logoff/screen lock of computer systems,,,,,,,
